Rice Name,Rice Type,General Color,Length in mm,Width in mm
F - Rice 0,1.5 saal purana kainat,White,10.225470591654787,2.037698773517476
F - Rice 1,1.5 saal purana kainat,White,6.403408390184369,2.1647672177922344
F - Rice 2,1.5 saal purana kainat,White,7.0845480638611695,1.651297879974796
F - Rice 3,1.5 saal purana kainat,White,8.761505183526937,1.992235142719261
A - Rice 4,1.5 saal purana kainat,White,9.291867847608057,2.1398279256642074
A - Rice 5,1.5 saal purana kainat,White,8.722765344275352,1.9713317529115477
A - Rice 6,1.5 saal purana kainat,White,8.000128141442389,1.8187612066849
A - Rice 7,1.5 saal purana kainat,White,8.878415193192929,2.1005245101606507
F - Rice 8,1.5 saal purana kainat,White,9.867475780740351,1.8952314891382773
F - Rice 9,1.5 saal purana kainat,White,8.430840426597316,2.2230511354611924
F - Rice 10,1.5 saal purana kainat,White,7.082884904768526,1.6702654421023255
F - Rice 11,1.5 saal purana kainat,White,8.537966707315691,1.919294270770157
A - Rice 12,1.5 saal purana kainat,White,8.841290922834633,2.092924296325184
A - Rice 13,1.5 saal purana kainat,White,9.239211723737927,2.1075675951135375
A - Rice 14,1.5 saal purana kainat,White,8.524539111998534,1.8722495092862113
A - Rice 15,1.5 saal purana kainat,White,7.964587896648937,1.8722160323134798
A - Rice 16,1.5 saal purana kainat,White,8.80364546492837,2.1055016988190527
F - Rice 17,1.5 saal purana kainat,White,9.877315813826765,1.9114675668095595
F - Rice 18,1.5 saal purana kainat,White,8.43959436378237,2.2347773338602215
F - Rice 19,1.5 saal purana kainat,White,7.118889257354039,1.7015743477745513
F - Rice 20,1.5 saal purana kainat,White,8.978099363830154,1.7371253140340137
F - Rice 21,1.5 saal purana kainat,White,8.555085360986181,1.9311837238283973
A - Rice 22,1.5 saal purana kainat,White,8.94136590540141,2.1623109230587456
A - Rice 23,1.5 saal purana kainat,White,8.839184071970037,2.1125559671636287
A - Rice 24,1.5 saal purana kainat,White,6.884550628045945,2.000576272756845
A - Rice 25,1.5 saal purana kainat,White,9.245613091402047,2.12897135100352
A - Rice 26,1.5 saal purana kainat,White,8.544693064051774,1.891173211887245
F - Rice 27,1.5 saal purana kainat,White,9.885218795813971,1.8880559435266648
F - Rice 28,1.5 saal purana kainat,White,9.327868441263119,2.235400373236095
F - Rice 29,1.5 saal purana kainat,White,8.941149733862488,2.2508546369156717
A - Rice 30,1.5 saal purana kainat,White,8.836319008743173,2.1109663078693814
A - Rice 31,1.5 saal purana kainat,White,9.013513720007037,2.1300293569682665
A - Rice 32,1.5 saal purana kainat,White,9.521854239727867,2.1515001554048108
F - Rice 33,1.5 saal purana kainat,White,8.394292860661425,2.1924910490898726
F - Rice 34,1.5 saal purana kainat,White,8.98034437139262,2.1553863447599824
F - Rice 35,1.5 saal purana kainat,White,9.65329913922641,1.8427141068437674
A - Rice 36,1.5 saal purana kainat,White,8.963673705028679,2.1373059386773345
A - Rice 37,1.5 saal purana kainat,White,7.79682783186507,1.8536068130357148
A - Rice 38,1.5 saal purana kainat,White,8.81308109901343,2.105091140715892
F - Rice 39,1.5 saal purana kainat,White,8.22612876545332,2.1172032092798743
F - Rice 40,1.5 saal purana kainat,White,7.884598384831954,2.1460550810925723
A - Rice 41,1.5 saal purana kainat,White,9.440868339676014,2.129961229118589
A - Rice 42,1.5 saal purana kainat,White,8.870643932607429,1.86114070286896
A - Rice 43,1.5 saal purana kainat,White,8.797262291999576,2.0846499310083697
F - Rice 44,1.5 saal purana kainat,White,7.491453936088356,2.0311194676242192
F - Rice 45,1.5 saal purana kainat,White,9.481788897291903,2.0164594437907293
F - Rice 46,1.5 saal purana kainat,White,9.524640729304794,2.0084700807019753
A - Rice 47,1.5 saal purana kainat,White,8.192454751323949,2.1896165563628616
A - Rice 48,1.5 saal purana kainat,White,7.820616228946322,2.1698245501526703
A - Rice 49,1.5 saal purana kainat,White,9.433174311479776,2.0815422434561426
A - Rice 50,1.5 saal purana kainat,White,9.133446065333445,2.1036992666443863
F - Rice 51,1.5 saal purana kainat,White,8.1536175235178,2.1332555982312393
A - Rice 52,1.5 saal purana kainat,White,9.423034850936856,2.0603698440132105
A - Rice 53,1.5 saal purana kainat,White,9.3414622043603,2.093051029748811
A - Rice 54,1.5 saal purana kainat,White,9.276849226252773,2.0997070129130893
F - Rice 55,1.5 saal purana kainat,White,8.549973431974031,1.9252050585409062
F - Rice 56,1.5 saal purana kainat,White,8.542095338828354,1.884970375519441
F - Rice 57,1.5 saal purana kainat,White,8.43854104046355,2.230912342627538
A - Rice 58,1.5 saal purana kainat,White,9.870697121513427,1.9069564830333996
A - Rice 59,1.5 saal purana kainat,White,8.840781198339435,2.105065513851815
A - Rice 60,1.5 saal purana kainat,White,7.116365270489896,1.6932569170556442
A - Rice 61,1.5 saal purana kainat,White,9.236919919942789,2.1249267821962894
F - Rice 62,1.5 saal purana kainat,White,9.648923704813873,1.8332911830660175
A - Rice 63,1.5 saal purana kainat,White,8.942657476600571,2.1433639213488753
A - Rice 64,1.5 saal purana kainat,White,8.960154754738351,2.13233841073711
