Rice Name,Rice Type,General Color,Length in mm,Width in mm
F - Rice 0,Super tota,White,4.0451428599371555,1.755565657912975
F - Rice 1,Super tota,White,2.728717495510713,1.6437475420246663
F - Rice 2,Super tota,White,3.7623601322784106,1.882696179427043
F - Rice 3,Super tota,White,2.783829381681557,1.7522198900428885
A - Rice 4,Super tota,White,4.627981725608907,1.7956696531555036
A - Rice 5,Super tota,White,3.2920432943931766,1.798722353214437
A - Rice 6,Super tota,White,5.3324551610153375,1.7006757390119065
A - Rice 7,Super tota,White,3.026639407983573,1.9537507385142734
A - Rice 8,Super tota,White,3.406943071372194,1.9187646278255506
F - Rice 9,Super tota,White,3.005754769586811,1.4125275083181523
F - Rice 10,Super tota,White,4.493967625922175,1.7438844043605815
F - Rice 11,Super tota,White,3.4798391847419152,1.8621440169293542
A - Rice 12,Super tota,White,3.5223523516894617,2.162295670678379
A - Rice 13,Super tota,White,3.4109576768344705,1.76308959752749
A - Rice 14,Super tota,White,4.45521503047393,1.7940749401084168
A - Rice 15,Super tota,White,3.662987428530279,1.6040827500995611
F - Rice 16,Super tota,White,3.195707860025439,1.7763173870272524
F - Rice 17,Super tota,White,2.979204303964051,1.7051353797288034
F - Rice 18,Super tota,White,3.5152224227645523,2.4271843505050548
F - Rice 19,Super tota,White,3.5140295542853504,1.4155000396677677
A - Rice 20,Super tota,White,4.296896594446455,1.7435867891549997
A - Rice 21,Super tota,White,3.624099266057784,1.801984131272611
A - Rice 22,Super tota,White,3.8188554981481397,1.7777985551203777
A - Rice 23,Super tota,White,4.8545277327578304,1.8801565245095355
A - Rice 24,Super tota,White,4.201184763269457,1.712644784819949
F - Rice 25,Super tota,White,4.995455536606608,2.0248427090571646
F - Rice 26,Super tota,White,4.988476765900406,1.5601068028589673
F - Rice 27,Super tota,White,5.616486134781934,1.9992359261200694
F - Rice 28,Super tota,White,4.2870521713222685,1.3426986610541005
A - Rice 29,Super tota,White,2.530071815605221,1.6205306813053881
A - Rice 30,Super tota,White,3.889322706872391,1.9873882399847296
