Rice Name,Rice Type,General Color,Length in mm,Width in mm
F - Rice 0,kacha super fan,White,6.98443146636997,1.9563854315206337
F - Rice 1,kacha super fan,White,6.6952015500309665,2.32122048495606
F - Rice 2,kacha super fan,White,6.978517697890919,1.7688026287549055
F - Rice 3,kacha super fan,White,6.100882952673875,1.9112150119206885
A - Rice 4,kacha super fan,White,7.041898445773743,1.8642604308236215
A - Rice 5,kacha super fan,White,7.484487391669111,1.9901588494027118
A - Rice 6,kacha super fan,White,7.121825204823553,1.796313107660499
A - Rice 7,kacha super fan,White,7.694827538448084,1.8072405819127353
A - Rice 8,kacha super fan,White,5.236527360564455,1.7122179660039263
F - Rice 9,kacha super fan,White,6.7397709464096245,1.862365319361493
F - Rice 10,kacha super fan,White,7.046428547136987,1.7215633358566382
F - Rice 11,kacha super fan,White,7.042600341804485,2.008894868688776
F - Rice 12,kacha super fan,White,5.275532454737352,1.7563733639575905
F - Rice 13,kacha super fan,White,7.236465134466527,1.8550368072492756
A - Rice 14,kacha super fan,White,7.818169547905074,1.8283734715305653
A - Rice 15,kacha super fan,White,7.631552355393537,2.0378623096225184
A - Rice 16,kacha super fan,White,6.035917397337838,2.0446688621235047
A - Rice 17,kacha super fan,White,6.670742886088206,2.221380120258109
A - Rice 18,kacha super fan,White,7.1653436411204146,1.7711223519093053
A - Rice 19,kacha super fan,White,6.898344029261675,1.931812906169527
F - Rice 20,kacha super fan,White,7.0266758065050405,2.0044852752125206
F - Rice 21,kacha super fan,White,6.9578086681195,1.837204830512361
F - Rice 22,kacha super fan,White,7.6853971701190895,2.028741655699261
A - Rice 23,kacha super fan,White,6.756800211254584,2.3451675572253623
A - Rice 24,kacha super fan,White,7.208050757096828,1.9077437365203096
A - Rice 25,kacha super fan,White,5.911876559536238,1.7623936345522984
A - Rice 26,kacha super fan,White,6.472852970742417,2.2207118185225747
A - Rice 27,kacha super fan,White,6.839548222869561,1.8902421815232604
F - Rice 28,kacha super fan,White,6.742953697131738,2.339493683744481
F - Rice 29,kacha super fan,White,6.966222663551345,1.9861055369856877
F - Rice 30,kacha super fan,White,5.8908068148083945,1.7750065517087754
F - Rice 31,kacha super fan,White,6.879747452789885,1.8322043026943278
F - Rice 32,kacha super fan,White,9.35124593909805,1.9013804878382867
F - Rice 33,kacha super fan,White,6.814780230383623,1.8466270893371064
A - Rice 34,kacha super fan,White,7.333923638132022,1.962286988333045
A - Rice 35,kacha super fan,White,7.150609228451545,1.7635243950522337
A - Rice 36,kacha super fan,White,7.043616772507487,1.7208858080747707
A - Rice 37,kacha super fan,White,7.933420268127281,2.1277816876253923
A - Rice 38,kacha super fan,White,7.7979385218168,1.7318645817192144
A - Rice 39,kacha super fan,White,6.322955230710912,2.226438898719598
A - Rice 40,kacha super fan,White,7.06389964236884,2.0485485386007274
A - Rice 41,kacha super fan,White,6.396680294069743,2.1525730308946964
F - Rice 42,kacha super fan,White,7.182734785385004,1.7845707685010408
F - Rice 43,kacha super fan,White,7.462147763763913,2.142812596902941
F - Rice 44,kacha super fan,White,7.098877109094739,1.9744949490497385
F - Rice 45,kacha super fan,White,7.023285372135432,1.8372880491028067
F - Rice 46,kacha super fan,White,7.993323239879751,2.1387040023449777
A - Rice 47,kacha super fan,White,6.5850536643456685,2.2068789954630113
A - Rice 48,kacha super fan,White,6.689992558771297,2.356137614564284
A - Rice 49,kacha super fan,White,7.047862727367224,1.9674826085287969
A - Rice 50,kacha super fan,White,5.843322588593064,1.723876082921248
A - Rice 51,kacha super fan,White,6.712101767572983,2.1807888309809305
A - Rice 52,kacha super fan,White,6.643597214220908,1.96292672675383
F - Rice 53,kacha super fan,White,7.524252084464734,2.1228680650934497
F - Rice 54,kacha super fan,White,7.273315823206961,2.0752347401734763
F - Rice 55,kacha super fan,White,6.675811713290351,1.8388556572815447
F - Rice 56,kacha super fan,White,9.639271086866136,2.382219724388834
A - Rice 57,kacha super fan,White,6.809863454601997,1.913911540305526
A - Rice 58,kacha super fan,White,6.60226039316138,2.4856084588254146
A - Rice 59,kacha super fan,White,6.684825719244225,1.9116408734035861
A - Rice 60,kacha super fan,White,6.343963102938634,1.8879163929916913
F - Rice 61,kacha super fan,White,6.6688432747729225,1.9165614001909186
F - Rice 62,kacha super fan,White,7.275686238056502,2.113234311655185
F - Rice 63,kacha super fan,White,7.494102820949477,1.8324358021423823
F - Rice 64,kacha super fan,White,6.7537879336338875,2.553360971062341
A - Rice 65,kacha super fan,White,8.43440447613729,2.207449089860639
A - Rice 66,kacha super fan,White,6.811193259386522,1.8280855421953823
A - Rice 67,kacha super fan,White,6.46544098119128,1.9394762807618529
A - Rice 68,kacha super fan,White,5.9492289272696794,1.8269354272138565
A - Rice 69,kacha super fan,White,6.759777433667459,1.8744774087845215
A - Rice 70,kacha super fan,White,6.718720277662113,1.6398612067237845
F - Rice 71,kacha super fan,White,8.511720418400884,1.9767951242857786
F - Rice 72,kacha super fan,White,7.26696874419981,2.0050401721179942
F - Rice 73,kacha super fan,White,6.716524375690446,2.3429200163268473
A - Rice 74,kacha super fan,White,6.705002925240149,1.895563237773288
A - Rice 75,kacha super fan,White,6.658162107361619,1.845872687292573
A - Rice 76,kacha super fan,White,6.759105459092855,1.7705467984904746
A - Rice 77,kacha super fan,White,6.876161404743499,1.759405692052328
A - Rice 78,kacha super fan,White,6.473842866241344,1.922744393777579
F - Rice 79,kacha super fan,White,6.394482800836696,2.1464093824635047
F - Rice 80,kacha super fan,White,5.889736105549783,1.7690579422155797
F - Rice 81,kacha super fan,White,7.148296358117892,1.7586923446549658
F - Rice 82,kacha super fan,White,7.059158735782555,2.0411288987423433
A - Rice 83,kacha super fan,White,7.781076560567053,1.7284855870676314
A - Rice 84,kacha super fan,White,6.740503054380573,2.336452951155031
A - Rice 85,kacha super fan,White,6.963650949565462,1.981442968487531
A - Rice 86,kacha super fan,White,7.930633654871891,2.1232541948298165
F - Rice 87,kacha super fan,White,6.658468445301759,1.908244471051137
F - Rice 88,kacha super fan,White,7.263426282376728,2.1037522578387122
F - Rice 89,kacha super fan,White,7.489062186319946,1.8284972577606937
A - Rice 90,kacha super fan,White,6.754141376908296,2.5438270721930305
A - Rice 91,kacha super fan,White,8.436925900956528,2.199962818624966
A - Rice 92,kacha super fan,White,6.810199264993533,1.8274267324159208
A - Rice 93,kacha super fan,White,6.43616636354955,1.932101256387272
