Rice Name,Rice Type,General Color,Length in mm,Width in mm
F - Rice 0,kainat steam,White,7.627384070447712,1.7329203797158197
F - Rice 1,kainat steam,White,7.449248014373446,1.886627827197668
F - Rice 2,kainat steam,White,8.070068881349478,1.6666870822049178
F - Rice 3,kainat steam,White,8.029614797394814,1.9612380408758239
F - Rice 4,kainat steam,White,9.255491526281899,2.130979022169202
F - Rice 5,kainat steam,White,9.114030696900446,1.9773365525613427
F - Rice 6,kainat steam,White,7.931686274691364,2.1589233515678656
A - Rice 7,kainat steam,White,7.670375615796867,2.010169829475776
A - Rice 8,kainat steam,White,7.414177549554856,2.0458288160491827
A - Rice 9,kainat steam,White,6.956242729274176,1.923552732064619
A - Rice 10,kainat steam,White,6.660396174523462,1.736052575878074
A - Rice 11,kainat steam,White,6.725763354527962,2.1478398205121625
A - Rice 12,kainat steam,White,9.845327044840127,2.2011891480718093
A - Rice 13,kainat steam,White,5.937602791072833,1.342486598043683
F - Rice 14,kainat steam,White,8.09387628634118,1.9513631750322948
F - Rice 15,kainat steam,White,9.415077550398772,1.961723856133076
F - Rice 16,kainat steam,White,8.493804294977691,2.0368053642294535
F - Rice 17,kainat steam,White,8.64239657351389,2.0010003965187333
F - Rice 18,kainat steam,White,9.424564248572132,1.831462589536999
A - Rice 19,kainat steam,White,7.377150826003564,1.738121662226475
A - Rice 20,kainat steam,White,7.50109400285959,2.2238657158669763
A - Rice 21,kainat steam,White,7.932156862860967,2.1205081001707513
A - Rice 22,kainat steam,White,8.495582629391281,2.139042058716155
A - Rice 23,kainat steam,White,8.23855300114334,2.012410654225727
A - Rice 24,kainat steam,White,7.202842429295899,1.8780948305873306
F - Rice 25,kainat steam,White,7.2473414390714215,1.9412405902894871
F - Rice 26,kainat steam,White,9.45773841635226,2.051716919898784
F - Rice 27,kainat steam,White,8.985934794656007,1.9924405167075245
F - Rice 28,kainat steam,White,8.328599676459,2.00106805623778
F - Rice 29,kainat steam,White,10.915802515046554,2.081094436481483
F - Rice 30,kainat steam,White,8.316987116422494,2.0403087922416274
A - Rice 31,kainat steam,White,8.869074417313234,2.058792643413647
A - Rice 32,kainat steam,White,8.797074326124429,2.05414941897412
A - Rice 33,kainat steam,White,8.570309434554588,1.9819062232909817
A - Rice 34,kainat steam,White,8.074275352993388,1.8847542474351942
A - Rice 35,kainat steam,White,7.885620072529214,2.047174069982541
F - Rice 36,kainat steam,White,7.920117125299282,2.2338941763249602
F - Rice 37,kainat steam,White,9.833365780936887,2.295313970236319
F - Rice 38,kainat steam,White,9.28640852680724,1.7321713571574147
F - Rice 39,kainat steam,White,8.67317451646117,1.9910708644523532
A - Rice 40,kainat steam,White,8.91865556717861,1.99319151658857
A - Rice 41,kainat steam,White,8.439395857249359,1.9117081915681993
A - Rice 42,kainat steam,White,7.705701736418075,1.9751371249663214
A - Rice 43,kainat steam,White,6.135471756438145,1.9545686314562227
F - Rice 44,kainat steam,White,9.169580569553643,1.8161906373145265
F - Rice 45,kainat steam,White,7.288915977479265,1.952961671103672
F - Rice 46,kainat steam,White,9.441278577527376,1.8028746649006728
F - Rice 47,kainat steam,White,8.78096784944124,2.1359141259791765
F - Rice 48,kainat steam,White,7.817397057725516,1.822993022677304
