Rice Name,Rice Type,General Color,Length in mm,Width in mm
F - Rice 0,super kernel naya,White,6.273855517606979,1.6756299715566525
F - Rice 1,super kernel naya,White,8.254767191250897,2.1334997226057317
F - Rice 2,super kernel naya,White,8.260304337667225,1.829594546350985
A - Rice 3,super kernel naya,White,7.133434433533827,1.8273638378523367
A - Rice 4,super kernel naya,White,7.824314060658848,1.9708203732851772
A - Rice 5,super kernel naya,White,7.556385222230622,2.052454082583328
A - Rice 6,super kernel naya,White,6.203106915761936,1.5742966809592895
A - Rice 7,super kernel naya,White,7.889483517207346,1.6573389252420823
F - Rice 8,super kernel naya,White,7.726219266333913,1.6992570580847568
F - Rice 9,super kernel naya,White,6.726374948797705,1.7075280604985956
F - Rice 10,super kernel naya,White,7.7107077750804285,1.8350427014227608
A - Rice 11,super kernel naya,White,8.23888518923108,1.8569178649620846
A - Rice 12,super kernel naya,White,8.727932499540955,1.8531155890443645
A - Rice 13,super kernel naya,White,7.81241610631442,1.860911922314714
A - Rice 14,super kernel naya,White,7.311014269849183,1.8252998827118438
F - Rice 15,super kernel naya,White,6.8923459672051965,1.6861660272162535
F - Rice 16,super kernel naya,White,6.762748910421121,1.9113443611656928
F - Rice 17,super kernel naya,White,8.387485522981484,1.847073706455844
A - Rice 18,super kernel naya,White,7.837263357710077,1.9069958267756262
A - Rice 19,super kernel naya,White,7.4297154013644695,1.7240418646583637
A - Rice 20,super kernel naya,White,8.525750427243688,1.9329839513332951
A - Rice 21,super kernel naya,White,8.04086315824291,1.6866551421497353
F - Rice 22,super kernel naya,White,7.277798861884165,1.8158749865551869
F - Rice 23,super kernel naya,White,7.290464411626272,1.9019729128849954
A - Rice 24,super kernel naya,White,8.021456208367859,1.7096343383977939
A - Rice 25,super kernel naya,White,7.750377410231347,2.0251602612809343
A - Rice 26,super kernel naya,White,6.97619546767392,1.6883760217161825
A - Rice 27,super kernel naya,White,7.241479435811389,1.9827961408752528
F - Rice 28,super kernel naya,White,7.452759904265083,1.8902158871035966
F - Rice 29,super kernel naya,White,7.797731845940555,1.9623774140496126
F - Rice 30,super kernel naya,White,6.714994154796412,1.6474991498535918
A - Rice 31,super kernel naya,White,5.3769882834189815,2.5759679129745403
A - Rice 32,super kernel naya,White,5.656795674028348,1.8519552390309537
A - Rice 33,super kernel naya,White,7.890451829914023,1.7972274375247541
A - Rice 34,super kernel naya,White,7.931645382488034,1.6634104779831407
A - Rice 35,super kernel naya,White,7.945780690813355,1.9981939293609958
F - Rice 36,super kernel naya,White,8.04064405628295,2.0875799078223443
F - Rice 37,super kernel naya,White,4.921549731552939,1.792809613695592
F - Rice 38,super kernel naya,White,7.8046699529704595,2.14784333158464
F - Rice 39,super kernel naya,White,7.562223694884985,1.7795462926975607
F - Rice 40,super kernel naya,White,7.335323889970479,1.6592427812525883
A - Rice 41,super kernel naya,White,6.820446047001692,1.8626115414706264
A - Rice 42,super kernel naya,White,7.120276561764327,1.7852282792261962
A - Rice 43,super kernel naya,White,5.474597697292655,1.5657744795050772
A - Rice 44,super kernel naya,White,7.81867327829317,1.5538753644982934
F - Rice 45,super kernel naya,White,8.338794684414252,1.955575042608197
F - Rice 46,super kernel naya,White,8.421964111467402,1.8042684815251548
F - Rice 47,super kernel naya,White,7.039927657786389,1.8792827990376872
F - Rice 48,super kernel naya,White,8.31393763082871,2.1090628281123567
F - Rice 49,super kernel naya,White,6.648852488208799,1.8353279948958505
A - Rice 50,super kernel naya,White,7.9237669731092035,1.9657219767581418
A - Rice 51,super kernel naya,White,8.07021520854048,2.000963807955244
A - Rice 52,super kernel naya,White,8.882382228868916,2.1297954990828027
A - Rice 53,super kernel naya,White,7.735046881076063,1.5345338118707832
A - Rice 54,super kernel naya,White,7.526342143583957,2.065410470964619
F - Rice 55,super kernel naya,White,8.58228986381273,1.9079159669543964
F - Rice 56,super kernel naya,White,8.458075749889861,2.0574543156900567
F - Rice 57,super kernel naya,White,7.205261245115358,1.938156516297232
F - Rice 58,super kernel naya,White,6.671974800195128,1.6125137626320385
F - Rice 59,super kernel naya,White,8.32862750905628,2.0361946909655018
A - Rice 60,super kernel naya,White,8.396180001949457,1.7965671226706903
A - Rice 61,super kernel naya,White,7.37568644577484,1.882531965937665
A - Rice 62,super kernel naya,White,7.015638669623117,1.3550983439862225
A - Rice 63,super kernel naya,White,7.64629951784375,1.8184973548978003
A - Rice 64,super kernel naya,White,6.104605643200404,1.6726063140548761
A - Rice 65,super kernel naya,White,6.249172307265843,1.6141393008530687
F - Rice 66,super kernel naya,White,7.821336208796319,1.9718255022865196
F - Rice 67,super kernel naya,White,7.559200579101421,2.0527487091328056
F - Rice 68,super kernel naya,White,6.202137514219028,1.5738798660668532
A - Rice 69,super kernel naya,White,8.259985557380347,1.828892220885241
A - Rice 70,super kernel naya,White,7.88788008401976,1.6563106790156226
A - Rice 71,super kernel naya,White,7.132409515047489,1.8267869183537322
F - Rice 72,super kernel naya,White,7.7383213240631195,1.537824669257067
F - Rice 73,super kernel naya,White,8.89007223563,2.1308342368457462
F - Rice 74,super kernel naya,White,6.651917841767781,1.8365759216377324
A - Rice 75,super kernel naya,White,7.026559745634997,1.8831683943315796
A - Rice 76,super kernel naya,White,8.316519105098028,2.1147016720906806
A - Rice 77,super kernel naya,White,8.071821114889515,2.003884333402591
A - Rice 78,super kernel naya,White,7.531961096062146,2.0672983584096176
A - Rice 79,super kernel naya,White,7.921625228198982,1.9699842267494385
